Running prime number generator program on 30 CPU cores
135745 5714
number of parameters: 1.69M
Adjusting learning rate of group 0 to 1.0000e-04.
At iter 10/135745, epoch 1, the losses are 105.468 (train). the base losses are 111.931 (train). The time used is 27.255s. 
At iter 290/135745, epoch 1, the losses are 5.410 (train). the base losses are 110.916 (train). The time used is 9.141s. 
At iter 300/135745, epoch 1, the losses are 5.426 (train). the base losses are 111.171 (train). The time used is 7.714s. 
At iter 300/135745, epoch 1, the losses are 5.428 (test). the base losses are 111.639 (test). 
At iter 310/135745, epoch 1, the losses are 5.418 (train). the base losses are 111.298 (train). The time used is 21.590s. 
At iter 320/135745, epoch 1, the losses are 5.492 (train). the base losses are 112.188 (train). The time used is 6.476s. 
At iter 330/135745, epoch 1, the losses are 5.428 (train). the base losses are 111.576 (train). The time used is 5.466s. 
At iter 340/135745, epoch 1, the losses are 5.503 (train). the base losses are 111.727 (train). The time used is 6.214s. 
At iter 350/135745, epoch 1, the losses are 5.394 (train). the base losses are 111.901 (train). The time used is 6.033s. 
At iter 350/135745, epoch 1, the losses are 5.475 (test). the base losses are 112.033 (test). 
At iter 360/135745, epoch 1, the losses are 5.468 (train). the base losses are 110.626 (train). The time used is 17.150s. 
At iter 370/135745, epoch 1, the losses are 5.404 (train). the base losses are 110.641 (train). The time used is 7.652s. 
At iter 380/135745, epoch 1, the losses are 5.437 (train). the base losses are 112.002 (train). The time used is 6.035s. 
At iter 390/135745, epoch 1, the losses are 5.450 (train). the base losses are 111.466 (train). The time used is 4.972s. 
At iter 400/135745, epoch 1, the losses are 5.453 (train). the base losses are 111.407 (train). The time used is 9.648s. 
At iter 400/135745, epoch 1, the losses are 5.419 (test). the base losses are 111.631 (test). 
At iter 410/135745, epoch 1, the losses are 5.420 (train). the base losses are 111.860 (train). The time used is 18.295s. 
At iter 420/135745, epoch 1, the losses are 5.494 (train). the base losses are 112.395 (train). The time used is 7.102s. 
At iter 430/135745, epoch 1, the losses are 5.343 (train). the base losses are 112.354 (train). The time used is 6.271s. 
At iter 440/135745, epoch 1, the losses are 5.418 (train). the base losses are 112.114 (train). The time used is 5.911s. 
At iter 450/135745, epoch 1, the losses are 5.417 (train). the base losses are 111.860 (train). The time used is 7.673s. 
At iter 450/135745, epoch 1, the losses are 5.439 (test). the base losses are 111.345 (test). 
At iter 460/135745, epoch 1, the losses are 5.457 (train). the base losses are 111.280 (train). The time used is 20.115s. 
At iter 470/135745, epoch 1, the losses are 5.429 (train). the base losses are 110.446 (train). The time used is 6.711s. 
At iter 480/135745, epoch 1, the losses are 5.382 (train). the base losses are 110.372 (train). The time used is 6.527s. 
At iter 490/135745, epoch 1, the losses are 5.439 (train). the base losses are 110.907 (train). The time used is 4.628s. 
At iter 500/135745, epoch 1, the losses are 5.362 (train). the base losses are 112.002 (train). The time used is 7.643s. 
At iter 500/135745, epoch 1, the losses are 5.453 (test). the base losses are 111.378 (test). 
At iter 510/135745, epoch 1, the losses are 5.465 (train). the base losses are 111.854 (train). The time used is 23.491s. 
At iter 520/135745, epoch 1, the losses are 5.485 (train). the base losses are 111.750 (train). The time used is 6.382s. 
At iter 530/135745, epoch 1, the losses are 5.457 (train). the base losses are 111.821 (train). The time used is 7.828s. 
At iter 540/135745, epoch 1, the losses are 5.415 (train). the base losses are 112.360 (train). The time used is 6.138s. 
At iter 550/135745, epoch 1, the losses are 5.458 (train). the base losses are 111.117 (train). The time used is 9.103s. 
At iter 550/135745, epoch 1, the losses are 5.408 (test). the base losses are 111.403 (test). 
At iter 560/135745, epoch 1, the losses are 5.443 (train). the base losses are 110.727 (train). The time used is 12.330s. 
At iter 570/135745, epoch 1, the losses are 5.416 (train). the base losses are 110.771 (train). The time used is 6.115s. 
At iter 580/135745, epoch 1, the losses are 5.415 (train). the base losses are 111.848 (train). The time used is 7.861s. 
At iter 590/135745, epoch 1, the losses are 5.428 (train). the base losses are 111.901 (train). The time used is 5.757s. 
At iter 600/135745, epoch 1, the losses are 5.386 (train). the base losses are 111.398 (train). The time used is 5.030s. 
At iter 600/135745, epoch 1, the losses are 5.437 (test). the base losses are 111.699 (test). 
At iter 610/135745, epoch 1, the losses are 5.452 (train). the base losses are 111.256 (train). The time used is 20.758s. 
At iter 620/135745, epoch 1, the losses are 5.326 (train). the base losses are 111.869 (train). The time used is 7.253s. 
At iter 630/135745, epoch 1, the losses are 5.400 (train). the base losses are 111.247 (train). The time used is 5.386s. 
At iter 640/135745, epoch 1, the losses are 5.442 (train). the base losses are 112.076 (train). The time used is 5.001s. 
At iter 650/135745, epoch 1, the losses are 5.425 (train). the base losses are 111.055 (train). The time used is 5.854s. 
At iter 650/135745, epoch 1, the losses are 5.432 (test). the base losses are 110.873 (test). 
At iter 660/135745, epoch 1, the losses are 5.432 (train). the base losses are 110.830 (train). The time used is 10.778s. 
At iter 670/135745, epoch 1, the losses are 5.395 (train). the base losses are 112.484 (train). The time used is 5.591s. 
At iter 680/135745, epoch 1, the losses are 5.414 (train). the base losses are 110.727 (train). The time used is 4.050s. 
At iter 690/135745, epoch 1, the losses are 5.444 (train). the base losses are 111.638 (train). The time used is 5.161s. 
At iter 700/135745, epoch 1, the losses are 5.439 (train). the base losses are 109.632 (train). The time used is 3.515s. 
At iter 700/135745, epoch 1, the losses are 5.410 (test). the base losses are 111.098 (test). 
At iter 710/135745, epoch 1, the losses are 5.452 (train). the base losses are 111.816 (train). The time used is 10.272s. 
At iter 720/135745, epoch 1, the losses are 5.439 (train). the base losses are 111.620 (train). The time used is 6.485s. 
At iter 730/135745, epoch 1, the losses are 5.444 (train). the base losses are 111.901 (train). The time used is 7.509s. 
At iter 740/135745, epoch 1, the losses are 5.383 (train). the base losses are 111.597 (train). The time used is 6.417s. 
At iter 750/135745, epoch 1, the losses are 5.421 (train). the base losses are 111.484 (train). The time used is 5.831s. 
At iter 750/135745, epoch 1, the losses are 5.425 (test). the base losses are 111.046 (test). 
At iter 760/135745, epoch 1, the losses are 5.420 (train). the base losses are 111.437 (train). The time used is 15.848s. 
At iter 770/135745, epoch 1, the losses are 5.513 (train). the base losses are 111.638 (train). The time used is 2.732s. 
At iter 780/135745, epoch 1, the losses are 5.490 (train). the base losses are 112.031 (train). The time used is 4.485s. 
At iter 790/135745, epoch 1, the losses are 5.402 (train). the base losses are 110.907 (train). The time used is 4.259s. 
At iter 800/135745, epoch 1, the losses are 5.438 (train). the base losses are 111.552 (train). The time used is 4.899s. 
At iter 800/135745, epoch 1, the losses are 5.396 (test). the base losses are 111.804 (test). 
At iter 810/135745, epoch 1, the losses are 5.427 (train). the base losses are 111.318 (train). The time used is 16.451s. 
At iter 820/135745, epoch 1, the losses are 5.435 (train). the base losses are 111.733 (train). The time used is 3.419s. 
At iter 830/135745, epoch 1, the losses are 5.407 (train). the base losses are 110.469 (train). The time used is 6.137s. 
At iter 840/135745, epoch 1, the losses are 5.472 (train). the base losses are 111.431 (train). The time used is 4.744s. 
At iter 850/135745, epoch 1, the losses are 5.403 (train). the base losses are 112.555 (train). The time used is 2.851s. 
At iter 850/135745, epoch 1, the losses are 5.410 (test). the base losses are 111.625 (test). 
At iter 860/135745, epoch 1, the losses are 5.395 (train). the base losses are 111.854 (train). The time used is 19.332s. 
At iter 870/135745, epoch 1, the losses are 5.452 (train). the base losses are 111.718 (train). The time used is 7.218s. 
At iter 880/135745, epoch 1, the losses are 5.429 (train). the base losses are 110.165 (train). The time used is 5.294s. 
At iter 890/135745, epoch 1, the losses are 5.484 (train). the base losses are 111.786 (train). The time used is 5.450s. 
At iter 900/135745, epoch 1, the losses are 5.409 (train). the base losses are 111.366 (train). The time used is 3.867s. 
At iter 900/135745, epoch 1, the losses are 5.439 (test). the base losses are 112.215 (test). 
At iter 910/135745, epoch 1, the losses are 5.426 (train). the base losses are 112.088 (train). The time used is 9.695s. 
At iter 920/135745, epoch 1, the losses are 5.427 (train). the base losses are 111.984 (train). The time used is 3.527s. 
At iter 930/135745, epoch 1, the losses are 5.377 (train). the base losses are 111.301 (train). The time used is 5.355s. 
At iter 940/135745, epoch 1, the losses are 5.433 (train). the base losses are 111.274 (train). The time used is 3.486s. 
At iter 950/135745, epoch 1, the losses are 5.394 (train). the base losses are 111.673 (train). The time used is 6.677s. 
At iter 950/135745, epoch 1, the losses are 5.451 (test). the base losses are 111.894 (test). 
At iter 960/135745, epoch 1, the losses are 5.471 (train). the base losses are 110.860 (train). The time used is 17.417s. 
At iter 970/135745, epoch 1, the losses are 5.461 (train). the base losses are 111.816 (train). The time used is 6.615s. 
At iter 980/135745, epoch 1, the losses are 5.438 (train). the base losses are 111.561 (train). The time used is 7.474s. 
At iter 990/135745, epoch 1, the losses are 5.411 (train). the base losses are 111.386 (train). The time used is 5.489s. 
At iter 1000/135745, epoch 1, the losses are 5.438 (train). the base losses are 112.055 (train). The time used is 3.109s. 
At iter 1000/135745, epoch 1, the losses are 5.422 (test). the base losses are 111.453 (test). 
At iter 1010/135745, epoch 1, the losses are 5.361 (train). the base losses are 110.567 (train). The time used is 14.150s. 
At iter 1020/135745, epoch 1, the losses are 5.403 (train). the base losses are 111.534 (train). The time used is 7.898s. 
At iter 1030/135745, epoch 1, the losses are 5.453 (train). the base losses are 111.978 (train). The time used is 5.613s. 
At iter 1040/135745, epoch 1, the losses are 5.418 (train). the base losses are 111.978 (train). The time used is 6.516s. 
At iter 1050/135745, epoch 1, the losses are 5.447 (train). the base losses are 112.321 (train). The time used is 8.288s. 
At iter 1050/135745, epoch 1, the losses are 5.408 (test). the base losses are 111.923 (test). 
At iter 1060/135745, epoch 1, the losses are 5.308 (train). the base losses are 111.354 (train). The time used is 16.433s. 
At iter 1070/135745, epoch 1, the losses are 5.397 (train). the base losses are 111.055 (train). The time used is 3.724s. 
At iter 1080/135745, epoch 1, the losses are 5.427 (train). the base losses are 112.008 (train). The time used is 3.463s. 
At iter 1090/135745, epoch 1, the losses are 5.405 (train). the base losses are 112.685 (train). The time used is 5.429s. 
At iter 1100/135745, epoch 1, the losses are 5.433 (train). the base losses are 110.969 (train). The time used is 4.435s. 
At iter 1100/135745, epoch 1, the losses are 5.417 (test). the base losses are 112.505 (test). 
At iter 1110/135745, epoch 1, the losses are 5.428 (train). the base losses are 110.904 (train). The time used is 19.735s. 
At iter 1120/135745, epoch 1, the losses are 5.409 (train). the base losses are 111.975 (train). The time used is 6.600s. 
At iter 1130/135745, epoch 1, the losses are 5.409 (train). the base losses are 110.901 (train). The time used is 6.600s. 
At iter 1140/135745, epoch 1, the losses are 5.317 (train). the base losses are 111.289 (train). The time used is 6.187s. 
At iter 1150/135745, epoch 1, the losses are 5.419 (train). the base losses are 111.499 (train). The time used is 5.847s. 
At iter 1150/135745, epoch 1, the losses are 5.431 (test). the base losses are 111.320 (test). 
At iter 1160/135745, epoch 1, the losses are 5.443 (train). the base losses are 111.848 (train). The time used is 13.301s. 
At iter 1170/135745, epoch 1, the losses are 5.410 (train). the base losses are 110.774 (train). The time used is 4.415s. 
At iter 1180/135745, epoch 1, the losses are 5.438 (train). the base losses are 112.132 (train). The time used is 5.565s. 
At iter 1190/135745, epoch 1, the losses are 5.341 (train). the base losses are 111.813 (train). The time used is 3.674s. 
At iter 1200/135745, epoch 1, the losses are 5.421 (train). the base losses are 111.771 (train). The time used is 4.585s. 
At iter 1200/135745, epoch 1, the losses are 5.411 (test). the base losses are 111.392 (test). 
At iter 1210/135745, epoch 1, the losses are 5.383 (train). the base losses are 111.759 (train). The time used is 14.793s. 
At iter 1220/135745, epoch 1, the losses are 5.405 (train). the base losses are 111.573 (train). The time used is 5.537s. 
At iter 1230/135745, epoch 1, the losses are 5.432 (train). the base losses are 112.026 (train). The time used is 7.054s. 
At iter 1240/135745, epoch 1, the losses are 5.422 (train). the base losses are 112.138 (train). The time used is 4.074s. 
At iter 1250/135745, epoch 1, the losses are 5.431 (train). the base losses are 111.963 (train). The time used is 3.821s. 
At iter 1250/135745, epoch 1, the losses are 5.405 (test). the base losses are 111.801 (test). 
At iter 1260/135745, epoch 1, the losses are 5.392 (train). the base losses are 112.144 (train). The time used is 18.837s. 
At iter 1270/135745, epoch 1, the losses are 5.423 (train). the base losses are 110.718 (train). The time used is 6.420s. 
At iter 1280/135745, epoch 1, the losses are 5.446 (train). the base losses are 111.558 (train). The time used is 5.553s. 
At iter 1290/135745, epoch 1, the losses are 5.398 (train). the base losses are 111.499 (train). The time used is 3.099s. 
At iter 1300/135745, epoch 1, the losses are 5.413 (train). the base losses are 111.742 (train). The time used is 4.542s. 
At iter 1300/135745, epoch 1, the losses are 5.393 (test). the base losses are 111.628 (test). 
At iter 1310/135745, epoch 1, the losses are 5.457 (train). the base losses are 111.739 (train). The time used is 11.516s. 
At iter 1320/135745, epoch 1, the losses are 5.415 (train). the base losses are 111.629 (train). The time used is 7.262s. 
At iter 1330/135745, epoch 1, the losses are 5.423 (train). the base losses are 111.443 (train). The time used is 4.467s. 
At iter 1340/135745, epoch 1, the losses are 5.381 (train). the base losses are 111.102 (train). The time used is 6.098s. 
At iter 1350/135745, epoch 1, the losses are 5.277 (train). the base losses are 111.842 (train). The time used is 5.726s. 
At iter 1350/135745, epoch 1, the losses are 5.398 (test). the base losses are 111.147 (test). 
At iter 1360/135745, epoch 1, the losses are 5.483 (train). the base losses are 112.120 (train). The time used is 11.474s. 
At iter 1370/135745, epoch 1, the losses are 5.406 (train). the base losses are 111.786 (train). The time used is 8.973s. 
At iter 1380/135745, epoch 1, the losses are 5.353 (train). the base losses are 111.366 (train). The time used is 9.086s. 
At iter 1390/135745, epoch 1, the losses are 5.357 (train). the base losses are 111.845 (train). The time used is 4.834s. 
At iter 1400/135745, epoch 1, the losses are 5.385 (train). the base losses are 110.274 (train). The time used is 4.983s. 
At iter 1400/135745, epoch 1, the losses are 5.419 (test). the base losses are 111.233 (test). 
At iter 1410/135745, epoch 1, the losses are 5.385 (train). the base losses are 111.659 (train). The time used is 13.454s. 
At iter 1420/135745, epoch 1, the losses are 5.331 (train). the base losses are 111.455 (train). The time used is 3.532s. 
At iter 1430/135745, epoch 1, the losses are 5.400 (train). the base losses are 112.126 (train). The time used is 6.823s. 
At iter 1440/135745, epoch 1, the losses are 5.424 (train). the base losses are 112.336 (train). The time used is 3.545s. 
At iter 1450/135745, epoch 1, the losses are 5.370 (train). the base losses are 111.833 (train). The time used is 5.918s. 
At iter 1450/135745, epoch 1, the losses are 5.404 (test). the base losses are 110.947 (test). 
At iter 1460/135745, epoch 1, the losses are 5.415 (train). the base losses are 111.552 (train). The time used is 15.903s. 
At iter 1470/135745, epoch 1, the losses are 5.458 (train). the base losses are 111.564 (train). The time used is 5.762s. 
At iter 1480/135745, epoch 1, the losses are 5.367 (train). the base losses are 112.194 (train). The time used is 6.008s. 
At iter 1490/135745, epoch 1, the losses are 5.378 (train). the base losses are 111.505 (train). The time used is 6.331s. 
At iter 1500/135745, epoch 1, the losses are 5.424 (train). the base losses are 112.008 (train). The time used is 3.243s. 
At iter 1500/135745, epoch 1, the losses are 5.412 (test). the base losses are 112.218 (test). 
At iter 1510/135745, epoch 1, the losses are 5.449 (train). the base losses are 111.478 (train). The time used is 11.903s. 
At iter 1520/135745, epoch 1, the losses are 5.405 (train). the base losses are 111.671 (train). The time used is 6.975s. 
At iter 1530/135745, epoch 1, the losses are 5.392 (train). the base losses are 111.866 (train). The time used is 6.924s. 
At iter 1540/135745, epoch 1, the losses are 5.438 (train). the base losses are 112.490 (train). The time used is 5.796s. 
At iter 1550/135745, epoch 1, the losses are 5.405 (train). the base losses are 111.410 (train). The time used is 4.387s. 
At iter 1550/135745, epoch 1, the losses are 5.424 (test). the base losses are 112.126 (test). 
At iter 1560/135745, epoch 1, the losses are 5.397 (train). the base losses are 112.176 (train). The time used is 22.023s. 
At iter 1570/135745, epoch 1, the losses are 5.417 (train). the base losses are 110.830 (train). The time used is 4.538s. 
At iter 1580/135745, epoch 1, the losses are 5.388 (train). the base losses are 111.869 (train). The time used is 6.742s. 
At iter 1590/135745, epoch 1, the losses are 5.446 (train). the base losses are 111.810 (train). The time used is 3.418s. 
At iter 1600/135745, epoch 1, the losses are 5.414 (train). the base losses are 111.064 (train). The time used is 5.412s. 
At iter 1600/135745, epoch 1, the losses are 5.405 (test). the base losses are 111.804 (test). 
At iter 1610/135745, epoch 1, the losses are 5.435 (train). the base losses are 110.094 (train). The time used is 12.485s. 
At iter 1620/135745, epoch 1, the losses are 5.415 (train). the base losses are 111.922 (train). The time used is 3.574s. 
At iter 1630/135745, epoch 1, the losses are 5.399 (train). the base losses are 111.943 (train). The time used is 5.167s. 
At iter 1640/135745, epoch 1, the losses are 5.390 (train). the base losses are 111.676 (train). The time used is 2.806s. 
At iter 1650/135745, epoch 1, the losses are 5.443 (train). the base losses are 112.466 (train). The time used is 5.006s. 
At iter 1650/135745, epoch 1, the losses are 5.380 (test). the base losses are 110.997 (test). 
At iter 1660/135745, epoch 1, the losses are 5.394 (train). the base losses are 111.742 (train). The time used is 15.787s. 
At iter 1670/135745, epoch 1, the losses are 5.406 (train). the base losses are 110.528 (train). The time used is 3.911s. 
At iter 1680/135745, epoch 1, the losses are 5.418 (train). the base losses are 112.256 (train). The time used is 6.512s. 
At iter 1690/135745, epoch 1, the losses are 5.411 (train). the base losses are 111.413 (train). The time used is 1.832s. 
At iter 1700/135745, epoch 1, the losses are 5.441 (train). the base losses are 111.887 (train). The time used is 4.828s. 
At iter 1700/135745, epoch 1, the losses are 5.418 (test). the base losses are 111.557 (test). 
At iter 1710/135745, epoch 1, the losses are 5.437 (train). the base losses are 111.537 (train). The time used is 12.643s. 
At iter 1720/135745, epoch 1, the losses are 5.401 (train). the base losses are 112.141 (train). The time used is 4.515s. 
At iter 1730/135745, epoch 1, the losses are 5.395 (train). the base losses are 111.529 (train). The time used is 6.134s. 
At iter 1740/135745, epoch 1, the losses are 5.384 (train). the base losses are 111.333 (train). The time used is 6.214s. 
At iter 1750/135745, epoch 1, the losses are 5.407 (train). the base losses are 111.736 (train). The time used is 4.172s. 
At iter 1750/135745, epoch 1, the losses are 5.395 (test). the base losses are 112.031 (test). 
At iter 1760/135745, epoch 1, the losses are 5.386 (train). the base losses are 111.742 (train). The time used is 7.405s. 
At iter 1770/135745, epoch 1, the losses are 5.422 (train). the base losses are 111.644 (train). The time used is 3.160s. 
At iter 1780/135745, epoch 1, the losses are 5.456 (train). the base losses are 110.949 (train). The time used is 3.246s. 
At iter 1790/135745, epoch 1, the losses are 5.517 (train). the base losses are 112.179 (train). The time used is 4.292s. 
At iter 1800/135745, epoch 1, the losses are 5.431 (train). the base losses are 110.389 (train). The time used is 4.499s. 
At iter 1800/135745, epoch 1, the losses are 5.402 (test). the base losses are 112.098 (test). 
At iter 1810/135745, epoch 1, the losses are 5.347 (train). the base losses are 110.975 (train). The time used is 13.046s. 
At iter 1820/135745, epoch 1, the losses are 5.406 (train). the base losses are 111.913 (train). The time used is 2.430s. 
At iter 1830/135745, epoch 1, the losses are 5.405 (train). the base losses are 111.339 (train). The time used is 3.757s. 
At iter 1840/135745, epoch 1, the losses are 5.402 (train). the base losses are 111.913 (train). The time used is 1.854s. 
At iter 1850/135745, epoch 1, the losses are 5.434 (train). the base losses are 111.502 (train). The time used is 5.211s. 
At iter 1850/135745, epoch 1, the losses are 5.399 (test). the base losses are 111.136 (test). 
At iter 1860/135745, epoch 1, the losses are 5.372 (train). the base losses are 111.958 (train). The time used is 12.566s. 
At iter 1870/135745, epoch 1, the losses are 5.401 (train). the base losses are 111.742 (train). The time used is 4.968s. 
At iter 1880/135745, epoch 1, the losses are 5.430 (train). the base losses are 112.085 (train). The time used is 2.391s. 
At iter 1890/135745, epoch 1, the losses are 5.404 (train). the base losses are 110.741 (train). The time used is 2.458s. 
At iter 1900/135745, epoch 1, the losses are 5.387 (train). the base losses are 111.659 (train). The time used is 3.432s. 
At iter 1900/135745, epoch 1, the losses are 5.400 (test). the base losses are 112.302 (test). 
At iter 1910/135745, epoch 1, the losses are 5.390 (train). the base losses are 110.452 (train). The time used is 13.505s. 
At iter 1920/135745, epoch 1, the losses are 5.350 (train). the base losses are 111.786 (train). The time used is 3.592s. 
At iter 1930/135745, epoch 1, the losses are 5.421 (train). the base losses are 111.824 (train). The time used is 6.473s. 
At iter 1940/135745, epoch 1, the losses are 5.395 (train). the base losses are 112.026 (train). The time used is 3.919s. 
At iter 1950/135745, epoch 1, the losses are 5.406 (train). the base losses are 111.700 (train). The time used is 2.411s. 
At iter 1950/135745, epoch 1, the losses are 5.397 (test). the base losses are 111.166 (test). 
At iter 1960/135745, epoch 1, the losses are 5.393 (train). the base losses are 112.120 (train). The time used is 9.829s. 
At iter 1970/135745, epoch 1, the losses are 5.355 (train). the base losses are 111.159 (train). The time used is 7.374s. 
At iter 1980/135745, epoch 1, the losses are 5.421 (train). the base losses are 112.845 (train). The time used is 2.090s. 
At iter 1990/135745, epoch 1, the losses are 5.379 (train). the base losses are 111.889 (train). The time used is 5.548s. 
At iter 2000/135745, epoch 1, the losses are 5.430 (train). the base losses are 111.727 (train). The time used is 4.518s. 
At iter 2000/135745, epoch 1, the losses are 5.389 (test). the base losses are 110.940 (test). 
At iter 2010/135745, epoch 1, the losses are 5.349 (train). the base losses are 111.549 (train). The time used is 8.850s. 
At iter 2020/135745, epoch 1, the losses are 5.429 (train). the base losses are 111.981 (train). The time used is 4.776s. 
At iter 2030/135745, epoch 1, the losses are 5.392 (train). the base losses are 111.570 (train). The time used is 8.069s. 
At iter 2040/135745, epoch 1, the losses are 5.409 (train). the base losses are 111.623 (train). The time used is 4.968s. 
At iter 2050/135745, epoch 1, the losses are 5.346 (train). the base losses are 111.807 (train). The time used is 1.969s. 
At iter 2050/135745, epoch 1, the losses are 5.404 (test). the base losses are 112.441 (test). 
At iter 2060/135745, epoch 1, the losses are 5.435 (train). the base losses are 111.567 (train). The time used is 15.292s. 
At iter 2070/135745, epoch 1, the losses are 5.414 (train). the base losses are 112.277 (train). The time used is 3.526s. 
At iter 2080/135745, epoch 1, the losses are 5.379 (train). the base losses are 110.579 (train). The time used is 3.428s. 
At iter 2090/135745, epoch 1, the losses are 5.403 (train). the base losses are 111.233 (train). The time used is 5.088s. 
At iter 2100/135745, epoch 1, the losses are 5.470 (train). the base losses are 111.996 (train). The time used is 2.849s. 
At iter 2100/135745, epoch 1, the losses are 5.385 (test). the base losses are 112.027 (test). 
At iter 2110/135745, epoch 1, the losses are 5.425 (train). the base losses are 110.889 (train). The time used is 15.443s. 
At iter 2120/135745, epoch 1, the losses are 5.385 (train). the base losses are 110.875 (train). The time used is 3.424s. 
At iter 2130/135745, epoch 1, the losses are 5.388 (train). the base losses are 111.236 (train). The time used is 3.823s. 
At iter 2140/135745, epoch 1, the losses are 5.367 (train). the base losses are 111.641 (train). The time used is 2.426s. 
At iter 2150/135745, epoch 1, the losses are 5.356 (train). the base losses are 112.174 (train). The time used is 2.024s. 
At iter 2150/135745, epoch 1, the losses are 5.394 (test). the base losses are 111.247 (test). 
At iter 2160/135745, epoch 1, the losses are 5.397 (train). the base losses are 111.481 (train). The time used is 12.445s. 
At iter 2170/135745, epoch 1, the losses are 5.365 (train). the base losses are 110.756 (train). The time used is 4.850s. 
At iter 2180/135745, epoch 1, the losses are 5.468 (train). the base losses are 111.310 (train). The time used is 2.606s. 
At iter 2190/135745, epoch 1, the losses are 5.407 (train). the base losses are 111.709 (train). The time used is 2.583s. 
At iter 2200/135745, epoch 1, the losses are 5.405 (train). the base losses are 111.789 (train). The time used is 2.579s. 
At iter 2200/135745, epoch 1, the losses are 5.369 (test). the base losses are 111.634 (test). 
At iter 2210/135745, epoch 1, the losses are 5.379 (train). the base losses are 111.934 (train). The time used is 14.071s. 
At iter 2220/135745, epoch 1, the losses are 5.426 (train). the base losses are 111.626 (train). The time used is 5.643s. 
At iter 2230/135745, epoch 1, the losses are 5.386 (train). the base losses are 110.413 (train). The time used is 6.472s. 
At iter 2240/135745, epoch 1, the losses are 5.397 (train). the base losses are 110.721 (train). The time used is 3.372s. 
At iter 2250/135745, epoch 1, the losses are 5.353 (train). the base losses are 110.987 (train). The time used is 4.541s. 
At iter 2250/135745, epoch 1, the losses are 5.440 (test). the base losses are 111.595 (test). 
At iter 2260/135745, epoch 1, the losses are 5.434 (train). the base losses are 112.520 (train). The time used is 15.948s. 
