Running prime number generator program on 30 CPU cores
65582 11047
number of parameters: 1.69M
Adjusting learning rate of group 0 to 1.0000e-04.
At iter 10/65582, epoch 1, the losses are 61.206 (train). the base losses are 103.626 (train). The time used is 14.209s. 
At iter 220/65582, epoch 1, the losses are 4.293 (train). the base losses are 103.352 (train). The time used is 11.932s. 
At iter 230/65582, epoch 1, the losses are 4.295 (train). the base losses are 103.731 (train). The time used is 22.874s. 
At iter 240/65582, epoch 1, the losses are 4.302 (train). the base losses are 103.862 (train). The time used is 19.219s. 
At iter 250/65582, epoch 1, the losses are 4.304 (train). the base losses are 102.410 (train). The time used is 13.313s. 
At iter 250/65582, epoch 1, the losses are 4.326 (test). the base losses are 105.463 (test). 
At iter 260/65582, epoch 1, the losses are 4.278 (train). the base losses are 103.328 (train). The time used is 16.984s. 
At iter 270/65582, epoch 1, the losses are 4.298 (train). the base losses are 101.785 (train). The time used is 14.530s. 
At iter 280/65582, epoch 1, the losses are 4.315 (train). the base losses are 102.831 (train). The time used is 17.410s. 
At iter 290/65582, epoch 1, the losses are 4.305 (train). the base losses are 104.360 (train). The time used is 12.269s. 
At iter 300/65582, epoch 1, the losses are 4.330 (train). the base losses are 103.926 (train). The time used is 14.693s. 
At iter 300/65582, epoch 1, the losses are 4.319 (test). the base losses are 101.661 (test). 
At iter 310/65582, epoch 1, the losses are 4.295 (train). the base losses are 102.589 (train). The time used is 24.759s. 
At iter 320/65582, epoch 1, the losses are 4.311 (train). the base losses are 103.195 (train). The time used is 11.561s. 
At iter 330/65582, epoch 1, the losses are 4.304 (train). the base losses are 104.574 (train). The time used is 11.828s. 
At iter 340/65582, epoch 1, the losses are 4.314 (train). the base losses are 104.340 (train). The time used is 14.814s. 
At iter 350/65582, epoch 1, the losses are 4.286 (train). the base losses are 103.827 (train). The time used is 16.080s. 
At iter 350/65582, epoch 1, the losses are 4.363 (test). the base losses are 103.049 (test). 
At iter 360/65582, epoch 1, the losses are 4.274 (train). the base losses are 103.047 (train). The time used is 18.797s. 
At iter 370/65582, epoch 1, the losses are 4.329 (train). the base losses are 103.139 (train). The time used is 10.604s. 
At iter 380/65582, epoch 1, the losses are 4.269 (train). the base losses are 103.704 (train). The time used is 14.785s. 
At iter 390/65582, epoch 1, the losses are 4.250 (train). the base losses are 103.247 (train). The time used is 15.223s. 
At iter 400/65582, epoch 1, the losses are 4.258 (train). the base losses are 103.647 (train). The time used is 18.207s. 
At iter 400/65582, epoch 1, the losses are 4.310 (test). the base losses are 103.209 (test). 
At iter 410/65582, epoch 1, the losses are 4.291 (train). the base losses are 102.737 (train). The time used is 22.917s. 
At iter 420/65582, epoch 1, the losses are 4.283 (train). the base losses are 102.132 (train). The time used is 9.879s. 
At iter 430/65582, epoch 1, the losses are 4.294 (train). the base losses are 103.966 (train). The time used is 14.105s. 
At iter 440/65582, epoch 1, the losses are 4.260 (train). the base losses are 103.155 (train). The time used is 14.137s. 
At iter 450/65582, epoch 1, the losses are 4.273 (train). the base losses are 102.416 (train). The time used is 14.196s. 
At iter 450/65582, epoch 1, the losses are 4.301 (test). the base losses are 103.759 (test). 
At iter 460/65582, epoch 1, the losses are 4.270 (train). the base losses are 102.885 (train). The time used is 22.112s. 
At iter 470/65582, epoch 1, the losses are 4.279 (train). the base losses are 105.363 (train). The time used is 13.038s. 
At iter 480/65582, epoch 1, the losses are 4.310 (train). the base losses are 101.663 (train). The time used is 13.049s. 
At iter 490/65582, epoch 1, the losses are 4.250 (train). the base losses are 103.944 (train). The time used is 12.471s. 
At iter 500/65582, epoch 1, the losses are 4.271 (train). the base losses are 103.265 (train). The time used is 15.424s. 
At iter 500/65582, epoch 1, the losses are 4.367 (test). the base losses are 105.599 (test). 
At iter 510/65582, epoch 1, the losses are 4.344 (train). the base losses are 104.111 (train). The time used is 20.344s. 
At iter 520/65582, epoch 1, the losses are 4.291 (train). the base losses are 102.728 (train). The time used is 13.489s. 
At iter 530/65582, epoch 1, the losses are 4.263 (train). the base losses are 102.294 (train). The time used is 8.263s. 
At iter 540/65582, epoch 1, the losses are 4.266 (train). the base losses are 104.871 (train). The time used is 13.189s. 
At iter 550/65582, epoch 1, the losses are 4.322 (train). the base losses are 101.484 (train). The time used is 7.173s. 
At iter 550/65582, epoch 1, the losses are 4.352 (test). the base losses are 103.812 (test). 
At iter 560/65582, epoch 1, the losses are 4.285 (train). the base losses are 103.852 (train). The time used is 22.498s. 
At iter 570/65582, epoch 1, the losses are 4.238 (train). the base losses are 104.445 (train). The time used is 12.288s. 
At iter 580/65582, epoch 1, the losses are 4.237 (train). the base losses are 103.944 (train). The time used is 12.052s. 
At iter 590/65582, epoch 1, the losses are 4.310 (train). the base losses are 103.217 (train). The time used is 18.897s. 
At iter 600/65582, epoch 1, the losses are 4.293 (train). the base losses are 103.439 (train). The time used is 14.471s. 
At iter 600/65582, epoch 1, the losses are 4.284 (test). the base losses are 102.214 (test). 
At iter 610/65582, epoch 1, the losses are 4.294 (train). the base losses are 102.985 (train). The time used is 21.276s. 
At iter 620/65582, epoch 1, the losses are 4.291 (train). the base losses are 104.003 (train). The time used is 16.291s. 
At iter 630/65582, epoch 1, the losses are 4.277 (train). the base losses are 102.229 (train). The time used is 11.123s. 
At iter 640/65582, epoch 1, the losses are 4.297 (train). the base losses are 102.266 (train). The time used is 17.270s. 
At iter 650/65582, epoch 1, the losses are 4.259 (train). the base losses are 104.451 (train). The time used is 14.532s. 
At iter 650/65582, epoch 1, the losses are 4.274 (test). the base losses are 103.395 (test). 
At iter 660/65582, epoch 1, the losses are 4.280 (train). the base losses are 103.879 (train). The time used is 26.226s. 
At iter 670/65582, epoch 1, the losses are 4.287 (train). the base losses are 101.828 (train). The time used is 15.303s. 
At iter 680/65582, epoch 1, the losses are 4.275 (train). the base losses are 104.234 (train). The time used is 13.641s. 
At iter 690/65582, epoch 1, the losses are 4.273 (train). the base losses are 102.262 (train). The time used is 7.239s. 
At iter 700/65582, epoch 1, the losses are 4.301 (train). the base losses are 103.164 (train). The time used is 11.264s. 
At iter 700/65582, epoch 1, the losses are 4.323 (test). the base losses are 103.167 (test). 
At iter 710/65582, epoch 1, the losses are 4.284 (train). the base losses are 104.610 (train). The time used is 22.459s. 
At iter 720/65582, epoch 1, the losses are 4.267 (train). the base losses are 104.081 (train). The time used is 16.427s. 
At iter 730/65582, epoch 1, the losses are 4.274 (train). the base losses are 102.487 (train). The time used is 18.602s. 
At iter 740/65582, epoch 1, the losses are 4.283 (train). the base losses are 103.454 (train). The time used is 11.864s. 
At iter 750/65582, epoch 1, the losses are 4.263 (train). the base losses are 103.000 (train). The time used is 13.259s. 
At iter 750/65582, epoch 1, the losses are 4.339 (test). the base losses are 104.614 (test). 
At iter 760/65582, epoch 1, the losses are 4.260 (train). the base losses are 102.898 (train). The time used is 23.681s. 
At iter 770/65582, epoch 1, the losses are 4.293 (train). the base losses are 104.536 (train). The time used is 11.736s. 
At iter 780/65582, epoch 1, the losses are 4.223 (train). the base losses are 102.189 (train). The time used is 16.314s. 
At iter 790/65582, epoch 1, the losses are 4.312 (train). the base losses are 102.641 (train). The time used is 18.405s. 
At iter 800/65582, epoch 1, the losses are 4.275 (train). the base losses are 103.720 (train). The time used is 15.560s. 
At iter 800/65582, epoch 1, the losses are 4.311 (test). the base losses are 104.516 (test). 
At iter 810/65582, epoch 1, the losses are 4.238 (train). the base losses are 103.405 (train). The time used is 18.696s. 
At iter 820/65582, epoch 1, the losses are 4.275 (train). the base losses are 104.429 (train). The time used is 17.073s. 
At iter 830/65582, epoch 1, the losses are 4.278 (train). the base losses are 104.731 (train). The time used is 12.674s. 
At iter 840/65582, epoch 1, the losses are 4.286 (train). the base losses are 103.636 (train). The time used is 13.985s. 
At iter 850/65582, epoch 1, the losses are 4.290 (train). the base losses are 101.790 (train). The time used is 10.099s. 
At iter 850/65582, epoch 1, the losses are 4.293 (test). the base losses are 105.806 (test). 
At iter 860/65582, epoch 1, the losses are 4.286 (train). the base losses are 104.073 (train). The time used is 23.847s. 
At iter 870/65582, epoch 1, the losses are 4.274 (train). the base losses are 103.392 (train). The time used is 17.178s. 
At iter 880/65582, epoch 1, the losses are 4.204 (train). the base losses are 103.513 (train). The time used is 13.472s. 
At iter 890/65582, epoch 1, the losses are 4.339 (train). the base losses are 103.027 (train). The time used is 16.784s. 
At iter 900/65582, epoch 1, the losses are 4.313 (train). the base losses are 102.497 (train). The time used is 14.369s. 
At iter 900/65582, epoch 1, the losses are 4.305 (test). the base losses are 103.892 (test). 
At iter 910/65582, epoch 1, the losses are 4.263 (train). the base losses are 103.837 (train). The time used is 16.217s. 
At iter 920/65582, epoch 1, the losses are 4.300 (train). the base losses are 103.256 (train). The time used is 9.693s. 
At iter 930/65582, epoch 1, the losses are 4.249 (train). the base losses are 103.419 (train). The time used is 15.013s. 
At iter 940/65582, epoch 1, the losses are 4.272 (train). the base losses are 103.641 (train). The time used is 8.893s. 
At iter 950/65582, epoch 1, the losses are 4.266 (train). the base losses are 103.635 (train). The time used is 14.368s. 
At iter 950/65582, epoch 1, the losses are 4.294 (test). the base losses are 105.534 (test). 
At iter 960/65582, epoch 1, the losses are 4.260 (train). the base losses are 104.561 (train). The time used is 23.180s. 
At iter 970/65582, epoch 1, the losses are 4.257 (train). the base losses are 103.417 (train). The time used is 15.137s. 
At iter 980/65582, epoch 1, the losses are 4.287 (train). the base losses are 102.843 (train). The time used is 13.261s. 
At iter 990/65582, epoch 1, the losses are 4.248 (train). the base losses are 104.484 (train). The time used is 16.268s. 
At iter 1000/65582, epoch 1, the losses are 4.252 (train). the base losses are 103.694 (train). The time used is 7.082s. 
At iter 1000/65582, epoch 1, the losses are 4.324 (test). the base losses are 104.226 (test). 
At iter 1010/65582, epoch 1, the losses are 4.248 (train). the base losses are 103.473 (train). The time used is 25.301s. 
At iter 1020/65582, epoch 1, the losses are 4.282 (train). the base losses are 103.765 (train). The time used is 9.186s. 
At iter 1030/65582, epoch 1, the losses are 4.301 (train). the base losses are 103.870 (train). The time used is 12.089s. 
At iter 1040/65582, epoch 1, the losses are 4.288 (train). the base losses are 103.681 (train). The time used is 15.522s. 
At iter 1050/65582, epoch 1, the losses are 4.286 (train). the base losses are 102.916 (train). The time used is 14.046s. 
At iter 1050/65582, epoch 1, the losses are 4.254 (test). the base losses are 103.709 (test). 
At iter 1060/65582, epoch 1, the losses are 4.276 (train). the base losses are 102.558 (train). The time used is 22.611s. 
At iter 1070/65582, epoch 1, the losses are 4.215 (train). the base losses are 103.752 (train). The time used is 10.566s. 
At iter 1080/65582, epoch 1, the losses are 4.294 (train). the base losses are 104.191 (train). The time used is 10.036s. 
At iter 1090/65582, epoch 1, the losses are 4.273 (train). the base losses are 104.033 (train). The time used is 12.212s. 
At iter 1100/65582, epoch 1, the losses are 4.301 (train). the base losses are 104.469 (train). The time used is 8.612s. 
At iter 1100/65582, epoch 1, the losses are 4.267 (test). the base losses are 105.797 (test). 
At iter 1110/65582, epoch 1, the losses are 4.238 (train). the base losses are 101.661 (train). The time used is 22.078s. 
At iter 1120/65582, epoch 1, the losses are 4.246 (train). the base losses are 104.679 (train). The time used is 11.613s. 
At iter 1130/65582, epoch 1, the losses are 4.312 (train). the base losses are 102.019 (train). The time used is 13.871s. 
At iter 1140/65582, epoch 1, the losses are 4.280 (train). the base losses are 105.016 (train). The time used is 8.560s. 
At iter 1150/65582, epoch 1, the losses are 4.287 (train). the base losses are 103.278 (train). The time used is 16.545s. 
At iter 1150/65582, epoch 1, the losses are 4.278 (test). the base losses are 106.738 (test). 
At iter 1160/65582, epoch 1, the losses are 4.277 (train). the base losses are 101.966 (train). The time used is 30.796s. 
At iter 1170/65582, epoch 1, the losses are 4.282 (train). the base losses are 102.151 (train). The time used is 12.071s. 
At iter 1180/65582, epoch 1, the losses are 4.257 (train). the base losses are 103.750 (train). The time used is 16.003s. 
At iter 1190/65582, epoch 1, the losses are 4.291 (train). the base losses are 103.305 (train). The time used is 17.836s. 
At iter 1200/65582, epoch 1, the losses are 4.280 (train). the base losses are 102.169 (train). The time used is 8.279s. 
At iter 1200/65582, epoch 1, the losses are 4.293 (test). the base losses are 103.732 (test). 
At iter 1210/65582, epoch 1, the losses are 4.272 (train). the base losses are 102.117 (train). The time used is 16.103s. 
At iter 1220/65582, epoch 1, the losses are 4.276 (train). the base losses are 102.478 (train). The time used is 15.866s. 
At iter 1230/65582, epoch 1, the losses are 4.232 (train). the base losses are 103.265 (train). The time used is 11.713s. 
At iter 1240/65582, epoch 1, the losses are 4.232 (train). the base losses are 101.908 (train). The time used is 9.656s. 
At iter 1250/65582, epoch 1, the losses are 4.321 (train). the base losses are 102.349 (train). The time used is 13.779s. 
At iter 1250/65582, epoch 1, the losses are 4.295 (test). the base losses are 104.365 (test). 
At iter 1260/65582, epoch 1, the losses are 4.279 (train). the base losses are 102.598 (train). The time used is 17.163s. 
At iter 1270/65582, epoch 1, the losses are 4.245 (train). the base losses are 102.703 (train). The time used is 15.635s. 
At iter 1280/65582, epoch 1, the losses are 4.265 (train). the base losses are 102.988 (train). The time used is 15.669s. 
At iter 1290/65582, epoch 1, the losses are 4.240 (train). the base losses are 102.778 (train). The time used is 18.593s. 
At iter 1300/65582, epoch 1, the losses are 4.299 (train). the base losses are 103.107 (train). The time used is 7.690s. 
At iter 1300/65582, epoch 1, the losses are 4.284 (test). the base losses are 102.729 (test). 
At iter 1310/65582, epoch 1, the losses are 4.334 (train). the base losses are 102.536 (train). The time used is 17.333s. 
At iter 1320/65582, epoch 1, the losses are 4.286 (train). the base losses are 102.149 (train). The time used is 12.344s. 
At iter 1330/65582, epoch 1, the losses are 4.289 (train). the base losses are 103.323 (train). The time used is 13.151s. 
At iter 1340/65582, epoch 1, the losses are 4.275 (train). the base losses are 103.695 (train). The time used is 13.636s. 
At iter 1350/65582, epoch 1, the losses are 4.288 (train). the base losses are 102.772 (train). The time used is 8.267s. 
At iter 1350/65582, epoch 1, the losses are 4.291 (test). the base losses are 104.238 (test). 
At iter 1360/65582, epoch 1, the losses are 4.294 (train). the base losses are 103.744 (train). The time used is 25.327s. 
At iter 1370/65582, epoch 1, the losses are 4.295 (train). the base losses are 102.590 (train). The time used is 13.659s. 
At iter 1380/65582, epoch 1, the losses are 4.311 (train). the base losses are 102.623 (train). The time used is 12.601s. 
At iter 1390/65582, epoch 1, the losses are 4.299 (train). the base losses are 103.021 (train). The time used is 15.189s. 
At iter 1400/65582, epoch 1, the losses are 4.207 (train). the base losses are 102.163 (train). The time used is 15.788s. 
At iter 1400/65582, epoch 1, the losses are 4.325 (test). the base losses are 103.291 (test). 
At iter 1410/65582, epoch 1, the losses are 4.275 (train). the base losses are 104.308 (train). The time used is 18.471s. 
At iter 1420/65582, epoch 1, the losses are 4.263 (train). the base losses are 103.068 (train). The time used is 14.613s. 
At iter 1430/65582, epoch 1, the losses are 4.227 (train). the base losses are 104.904 (train). The time used is 8.975s. 
At iter 1440/65582, epoch 1, the losses are 4.292 (train). the base losses are 102.757 (train). The time used is 15.160s. 
At iter 1450/65582, epoch 1, the losses are 4.279 (train). the base losses are 103.249 (train). The time used is 11.278s. 
At iter 1450/65582, epoch 1, the losses are 4.283 (test). the base losses are 104.002 (test). 
At iter 1460/65582, epoch 1, the losses are 4.231 (train). the base losses are 101.337 (train). The time used is 26.721s. 
At iter 1470/65582, epoch 1, the losses are 4.261 (train). the base losses are 102.922 (train). The time used is 8.130s. 
At iter 1480/65582, epoch 1, the losses are 4.302 (train). the base losses are 104.583 (train). The time used is 10.658s. 
At iter 1490/65582, epoch 1, the losses are 4.233 (train). the base losses are 104.509 (train). The time used is 7.084s. 
At iter 1500/65582, epoch 1, the losses are 4.263 (train). the base losses are 102.633 (train). The time used is 13.084s. 
At iter 1500/65582, epoch 1, the losses are 4.256 (test). the base losses are 104.351 (test). 
At iter 1510/65582, epoch 1, the losses are 4.268 (train). the base losses are 103.499 (train). The time used is 16.206s. 
At iter 1520/65582, epoch 1, the losses are 4.183 (train). the base losses are 102.658 (train). The time used is 13.526s. 
At iter 1530/65582, epoch 1, the losses are 4.285 (train). the base losses are 102.521 (train). The time used is 10.545s. 
At iter 1540/65582, epoch 1, the losses are 4.223 (train). the base losses are 103.280 (train). The time used is 15.631s. 
At iter 1550/65582, epoch 1, the losses are 4.290 (train). the base losses are 102.549 (train). The time used is 17.107s. 
At iter 1550/65582, epoch 1, the losses are 4.311 (test). the base losses are 105.667 (test). 
At iter 1560/65582, epoch 1, the losses are 4.307 (train). the base losses are 104.655 (train). The time used is 24.410s. 
At iter 1570/65582, epoch 1, the losses are 4.240 (train). the base losses are 102.996 (train). The time used is 13.685s. 
At iter 1580/65582, epoch 1, the losses are 4.244 (train). the base losses are 103.732 (train). The time used is 13.097s. 
At iter 1590/65582, epoch 1, the losses are 4.284 (train). the base losses are 103.691 (train). The time used is 11.915s. 
At iter 1600/65582, epoch 1, the losses are 4.278 (train). the base losses are 104.567 (train). The time used is 14.834s. 
At iter 1600/65582, epoch 1, the losses are 4.281 (test). the base losses are 104.324 (test). 
At iter 1610/65582, epoch 1, the losses are 4.286 (train). the base losses are 102.888 (train). The time used is 24.091s. 
At iter 1620/65582, epoch 1, the losses are 4.251 (train). the base losses are 103.173 (train). The time used is 11.645s. 
At iter 1630/65582, epoch 1, the losses are 4.266 (train). the base losses are 104.200 (train). The time used is 12.886s. 
At iter 1640/65582, epoch 1, the losses are 4.257 (train). the base losses are 103.265 (train). The time used is 10.291s. 
At iter 1650/65582, epoch 1, the losses are 4.279 (train). the base losses are 103.111 (train). The time used is 14.910s. 
At iter 1650/65582, epoch 1, the losses are 4.310 (test). the base losses are 104.209 (test). 
At iter 1660/65582, epoch 1, the losses are 4.249 (train). the base losses are 103.025 (train). The time used is 17.721s. 
At iter 1670/65582, epoch 1, the losses are 4.272 (train). the base losses are 100.947 (train). The time used is 13.570s. 
At iter 1680/65582, epoch 1, the losses are 4.294 (train). the base losses are 102.683 (train). The time used is 11.502s. 
At iter 1690/65582, epoch 1, the losses are 4.274 (train). the base losses are 103.982 (train). The time used is 17.076s. 
At iter 1700/65582, epoch 1, the losses are 4.243 (train). the base losses are 102.784 (train). The time used is 13.201s. 
At iter 1700/65582, epoch 1, the losses are 4.286 (test). the base losses are 104.493 (test). 
At iter 1710/65582, epoch 1, the losses are 4.267 (train). the base losses are 103.284 (train). The time used is 13.896s. 
At iter 1720/65582, epoch 1, the losses are 4.265 (train). the base losses are 102.432 (train). The time used is 10.248s. 
At iter 1730/65582, epoch 1, the losses are 4.280 (train). the base losses are 104.547 (train). The time used is 18.244s. 
At iter 1740/65582, epoch 1, the losses are 4.246 (train). the base losses are 103.683 (train). The time used is 14.634s. 
At iter 1750/65582, epoch 1, the losses are 4.279 (train). the base losses are 102.999 (train). The time used is 13.163s. 
At iter 1750/65582, epoch 1, the losses are 4.292 (test). the base losses are 102.720 (test). 
At iter 1760/65582, epoch 1, the losses are 4.285 (train). the base losses are 102.577 (train). The time used is 21.261s. 
At iter 1770/65582, epoch 1, the losses are 4.283 (train). the base losses are 103.361 (train). The time used is 15.401s. 
At iter 1780/65582, epoch 1, the losses are 4.243 (train). the base losses are 103.183 (train). The time used is 23.453s. 
At iter 1790/65582, epoch 1, the losses are 4.226 (train). the base losses are 104.169 (train). The time used is 11.123s. 
At iter 1800/65582, epoch 1, the losses are 4.291 (train). the base losses are 104.145 (train). The time used is 14.722s. 
At iter 1800/65582, epoch 1, the losses are 4.320 (test). the base losses are 102.738 (test). 
At iter 1810/65582, epoch 1, the losses are 4.328 (train). the base losses are 104.215 (train). The time used is 22.840s. 
At iter 1820/65582, epoch 1, the losses are 4.251 (train). the base losses are 102.737 (train). The time used is 18.726s. 
At iter 1830/65582, epoch 1, the losses are 4.284 (train). the base losses are 101.990 (train). The time used is 17.781s. 
At iter 1840/65582, epoch 1, the losses are 4.275 (train). the base losses are 104.471 (train). The time used is 14.352s. 
At iter 1850/65582, epoch 1, the losses are 4.288 (train). the base losses are 103.759 (train). The time used is 15.927s. 
At iter 1850/65582, epoch 1, the losses are 4.329 (test). the base losses are 101.567 (test). 
At iter 1860/65582, epoch 1, the losses are 4.312 (train). the base losses are 103.379 (train). The time used is 19.486s. 
At iter 1870/65582, epoch 1, the losses are 4.285 (train). the base losses are 104.021 (train). The time used is 11.140s. 
At iter 1880/65582, epoch 1, the losses are 4.299 (train). the base losses are 103.395 (train). The time used is 15.418s. 
At iter 1890/65582, epoch 1, the losses are 4.267 (train). the base losses are 103.789 (train). The time used is 11.954s. 
At iter 1900/65582, epoch 1, the losses are 4.227 (train). the base losses are 104.765 (train). The time used is 11.630s. 
At iter 1900/65582, epoch 1, the losses are 4.289 (test). the base losses are 104.451 (test). 
At iter 1910/65582, epoch 1, the losses are 4.311 (train). the base losses are 101.069 (train). The time used is 22.138s. 
At iter 1920/65582, epoch 1, the losses are 4.306 (train). the base losses are 104.618 (train). The time used is 13.872s. 
At iter 1930/65582, epoch 1, the losses are 4.244 (train). the base losses are 103.845 (train). The time used is 17.286s. 
At iter 1940/65582, epoch 1, the losses are 4.298 (train). the base losses are 104.068 (train). The time used is 15.657s. 
At iter 1950/65582, epoch 1, the losses are 4.272 (train). the base losses are 103.821 (train). The time used is 10.366s. 
At iter 1950/65582, epoch 1, the losses are 4.304 (test). the base losses are 103.291 (test). 
At iter 1960/65582, epoch 1, the losses are 4.293 (train). the base losses are 102.046 (train). The time used is 18.838s. 
At iter 1970/65582, epoch 1, the losses are 4.290 (train). the base losses are 101.709 (train). The time used is 8.967s. 
At iter 1980/65582, epoch 1, the losses are 4.247 (train). the base losses are 104.107 (train). The time used is 17.436s. 
At iter 1990/65582, epoch 1, the losses are 4.315 (train). the base losses are 101.629 (train). The time used is 13.972s. 
At iter 2000/65582, epoch 1, the losses are 4.256 (train). the base losses are 102.646 (train). The time used is 11.469s. 
At iter 2000/65582, epoch 1, the losses are 4.277 (test). the base losses are 104.608 (test). 
At iter 2010/65582, epoch 1, the losses are 4.268 (train). the base losses are 103.920 (train). The time used is 22.609s. 
At iter 2020/65582, epoch 1, the losses are 4.268 (train). the base losses are 102.256 (train). The time used is 15.504s. 
At iter 2030/65582, epoch 1, the losses are 4.246 (train). the base losses are 103.145 (train). The time used is 9.955s. 
At iter 2040/65582, epoch 1, the losses are 4.223 (train). the base losses are 103.324 (train). The time used is 12.081s. 
At iter 2050/65582, epoch 1, the losses are 4.261 (train). the base losses are 104.309 (train). The time used is 10.589s. 
At iter 2050/65582, epoch 1, the losses are 4.312 (test). the base losses are 99.948 (test). 
At iter 2060/65582, epoch 1, the losses are 4.233 (train). the base losses are 105.089 (train). The time used is 21.787s. 
At iter 2070/65582, epoch 1, the losses are 4.265 (train). the base losses are 102.525 (train). The time used is 17.674s. 
At iter 2080/65582, epoch 1, the losses are 4.286 (train). the base losses are 102.936 (train). The time used is 14.744s. 
At iter 2090/65582, epoch 1, the losses are 4.288 (train). the base losses are 103.611 (train). The time used is 12.243s. 
At iter 2100/65582, epoch 1, the losses are 4.253 (train). the base losses are 103.271 (train). The time used is 16.451s. 
At iter 2100/65582, epoch 1, the losses are 4.316 (test). the base losses are 104.410 (test). 
At iter 2110/65582, epoch 1, the losses are 4.256 (train). the base losses are 102.519 (train). The time used is 23.273s. 
At iter 2120/65582, epoch 1, the losses are 4.294 (train). the base losses are 101.759 (train). The time used is 13.885s. 
At iter 2130/65582, epoch 1, the losses are 4.224 (train). the base losses are 104.012 (train). The time used is 15.236s. 
At iter 2140/65582, epoch 1, the losses are 4.297 (train). the base losses are 104.145 (train). The time used is 19.420s. 
At iter 2150/65582, epoch 1, the losses are 4.257 (train). the base losses are 102.929 (train). The time used is 16.108s. 
At iter 2150/65582, epoch 1, the losses are 4.240 (test). the base losses are 104.753 (test). 
At iter 2160/65582, epoch 1, the losses are 4.296 (train). the base losses are 103.172 (train). The time used is 24.388s. 
At iter 2170/65582, epoch 1, the losses are 4.324 (train). the base losses are 104.244 (train). The time used is 14.977s. 
At iter 2180/65582, epoch 1, the losses are 4.272 (train). the base losses are 102.994 (train). The time used is 15.255s. 
At iter 2190/65582, epoch 1, the losses are 4.287 (train). the base losses are 102.944 (train). The time used is 10.627s. 
At iter 2200/65582, epoch 1, the losses are 4.223 (train). the base losses are 103.200 (train). The time used is 16.264s. 
At iter 2200/65582, epoch 1, the losses are 4.292 (test). the base losses are 101.889 (test). 
At iter 2210/65582, epoch 1, the losses are 4.278 (train). the base losses are 103.735 (train). The time used is 22.777s. 
At iter 2220/65582, epoch 1, the losses are 4.265 (train). the base losses are 102.501 (train). The time used is 12.427s. 
At iter 2230/65582, epoch 1, the losses are 4.292 (train). the base losses are 102.944 (train). The time used is 13.068s. 
At iter 2240/65582, epoch 1, the losses are 4.262 (train). the base losses are 102.880 (train). The time used is 9.307s. 
At iter 2250/65582, epoch 1, the losses are 4.296 (train). the base losses are 102.905 (train). The time used is 9.634s. 
At iter 2250/65582, epoch 1, the losses are 4.247 (test). the base losses are 105.419 (test). 
At iter 2260/65582, epoch 1, the losses are 4.292 (train). the base losses are 103.083 (train). The time used is 24.980s. 
